ArmId,ArmLabel,Repeat,ScalingMode,HistoricalSeedsDisabled,ExpectedSeedPolicy,GsaN,MaxFunctionEvaluations,MaxIterations,Status,PrimaryRMSE,FullRMSE,HardRMSE,SoftRMSE,BaselinePrimaryRMSE,GovernedWithinGate,GovernedTotal,MetricsWithinGate,MetricsTotal,WorstMetric,WorstAbsErrorPct,CalibrationStatus,CalibrationAccepted,RunDir
fair_prior_zhang,Fair prior - Zhang,1,zhang,1,disabled_fair_prior,128,300,40,validated,0.117999801518419,0.345784361043016,0.122013793772763,0.197993754437842,0.281780927191951,5,9,6,16,LVEF,116.436763844753,PHYSIOLOGICAL_BUT_POOR_FIT,0,D:\Kuliah\Skripsi\CollabHafizKeisya\unified_vsd\results\runs\20260905_230634_reyna_pre_surgery
fair_prior_lundquist,Fair prior - Lundquist BSA,1,lundquist_bsa,1,disabled_fair_prior,128,300,40,validated,0.221590182393379,0.441760808914438,0.232199556776143,0.21561313070538,0.230115747385126,6,9,7,16,LVEF,131.227859401762,PHYSIOLOGICAL_BUT_POOR_FIT,0,D:\Kuliah\Skripsi\CollabHafizKeisya\unified_vsd\results\runs\20260905_232520_reyna_pre_surgery
operational_zhang,Current operational recipe - Zhang,1,zhang,0,recipe_controlled,128,300,40,validated,0.117999801518419,0.345784361043016,0.122013793772763,0.197993754437842,0.281780927191951,5,9,6,16,LVEF,116.436763844753,PHYSIOLOGICAL_BUT_POOR_FIT,0,D:\Kuliah\Skripsi\CollabHafizKeisya\unified_vsd\results\runs\20260905_235547_reyna_pre_surgery
operational_lundquist,Current operational recipe - Lundquist BSA,1,lundquist_bsa,0,recipe_controlled,128,300,40,failed,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,NaN,,0,
