Metric,Unit,Description,Comparator,UncertaintyFraction,UncertaintyAbs,Clinical,Calibrated,Error_pct,Tier,IncludedInCalibration,IncludedInPrimaryRMSE,Flag,ReportRole,Interpretation
RAP_min,mmHg,Right atrial diastolic-like minimum,RAP_min,0.2,NaN,NaN,1.62554140460583,NaN,unavailable,0,0,none,model_derived_metric_finding,"Model output with no finite patient comparator; use for physiologic interpretation, not RMSE validation."
RAP_max,mmHg,Right atrial systolic-like maximum,RAP_max,0.2,NaN,NaN,6.95667394611798,NaN,unavailable,0,0,none,model_derived_metric_finding,"Model output with no finite patient comparator; use for physiologic interpretation, not RMSE validation."
LAP_min,mmHg,Left atrial diastolic-like minimum,LAP_min,0.2,NaN,NaN,3.26780082342462,NaN,unavailable,0,0,none,model_derived_metric_finding,"Model output with no finite patient comparator; use for physiologic interpretation, not RMSE validation."
LAP_mean,mmHg,Left atrial mean pressure,LAP_mean,0.1,NaN,NaN,6.69444474259845,NaN,unavailable,0,0,none,model_derived_metric_finding,"Model output with no finite patient comparator; use for physiologic interpretation, not RMSE validation."
LAP_max,mmHg,Left atrial systolic-like maximum,LAP_max,0.2,NaN,NaN,8.56459362886347,NaN,unavailable,0,0,none,model_derived_metric_finding,"Model output with no finite patient comparator; use for physiologic interpretation, not RMSE validation."
LVEDP,mmHg,LV end-diastolic pressure at LVEDV,LVEDP,0.1,NaN,NaN,63.0550632978631,NaN,unavailable,0,0,none,model_derived_metric_finding,"Model output with no finite patient comparator; use for physiologic interpretation, not RMSE validation."
RVEDP,mmHg,RV end-diastolic pressure at RVEDV,RVEDP,0.1,NaN,NaN,9.62398817632001,NaN,unavailable,0,0,none,model_derived_metric_finding,"Model output with no finite patient comparator; use for physiologic interpretation, not RMSE validation."
PVR,WU,Derived pulmonary vascular resistance,PVR,0.2,NaN,NaN,2.63717099283174,NaN,unavailable,0,0,none,model_derived_metric_finding,"Model output with no finite patient comparator; use for physiologic interpretation, not RMSE validation."
VSD_frac_pct,%,Residual VSD shunt fraction of Qp,VSD_frac_pct,0.2,NaN,NaN,6.45337067295151e-05,NaN,unavailable,0,0,none,model_derived_metric_finding,"Model output with no finite patient comparator; use for physiologic interpretation, not RMSE validation."
