ParameterA,ParameterB,Correlation,Collinear
E.RV.EA,V0.RV,-0.963387086333259,1
E.RV.EB,V0.RV,0.925796975705592,1
E.RV.EA,E.RV.EB,-0.918202450939868,1
E.LV.EA,E.LV.EB,-0.902257560925454,1
E.LV.EA,vsd.Cd,-0.787212679331257,0
R.SVEN,E.LV.EA,0.714928500855967,0
group.R_pul_scale,E.LV.EB,0.709136095024759,0
E.LV.EB,vsd.Cd,0.702568434067165,0
group.R_pul_scale,C.SAR,-0.70145199485621,0
R.SVEN,vsd.Cd,-0.612255343173952,0
E.LV.EB,E.RV.EA,0.556596672284354,0
E.LV.EB,E.RV.EB,-0.543837660670591,0
group.R_pul_scale,E.RV.EA,0.518294385727567,0
E.LV.EA,E.RV.EB,0.497361031696388,0
C.PAR,E.LV.EA,-0.475978883187947,0
E.LV.EB,V0.RV,-0.475744473904723,0
group.R_sys_scale,group.R_pul_scale,-0.453869074041991,0
group.R_sys_scale,E.LV.EB,-0.422321370067198,0
E.RV.EB,V0.LV,-0.420165511124491,0
group.R_sys_scale,vsd.Cd,-0.41423348076702,0
R.SVEN,E.LV.EB,-0.404592271734074,0
V0.LV,vsd.Cd,0.380211474083106,0
group.R_sys_scale,E.LV.EA,0.378701167756946,0
R.SVEN,C.SAR,-0.35487780274381,0
group.R_pul_scale,V0.RV,-0.353134185426557,0
group.R_pul_scale,E.LV.EA,-0.352777077588045,0
R.SVEN,E.RV.EB,0.347097012439201,0
group.R_sys_scale,R.SVEN,0.345755805960064,0
C.SAR,E.RV.EA,-0.342395167371343,0
C.PAR,E.LV.EB,0.341521470060745,0
E.LV.EA,E.RV.EA,-0.340866319773708,0
E.RV.EB,vsd.Cd,-0.338409965439765,0
E.RV.EA,V0.LV,0.329126797690653,0
group.R_pul_scale,vsd.Cd,0.321766083363791,0
group.R_sys_scale,V0.RV,-0.321292816447009,0
C.SAR,E.LV.EB,-0.314490267450517,0
E.LV.EA,V0.RV,0.311620764508064,0
group.R_sys_scale,C.SAR,0.300726128161448,0
group.R_sys_scale,E.RV.EB,-0.28025840585544,0
group.R_sys_scale,V0.LV,0.263345172963675,0
C.SAR,V0.RV,0.243676277426484,0
R.SVEN,group.R_pul_scale,0.242759724230028,0
group.R_pul_scale,E.RV.EB,-0.236130573736774,0
R.SVEN,C.PAR,-0.232918396466232,0
R.SVEN,V0.LV,-0.231997673362949,0
group.R_sys_scale,E.RV.EA,0.229318066375339,0
E.LV.EA,V0.LV,-0.217708522274837,0
E.RV.EA,vsd.Cd,0.193576354517032,0
E.LV.EB,V0.LV,0.173988031639744,0
V0.LV,V0.RV,-0.165925920630282,0
C.SAR,C.PAR,0.14099509919007,0
group.R_sys_scale,C.PAR,0.130083684402725,0
V0.RV,vsd.Cd,-0.0811453098633441,0
C.SAR,E.RV.EB,0.0792670039234167,0
C.PAR,V0.LV,0.0740170822967353,0
group.R_pul_scale,V0.LV,0.0671237272555284,0
C.PAR,E.RV.EA,-0.0637743904522148,0
group.R_pul_scale,C.PAR,-0.0603271390924146,0
R.SVEN,V0.RV,0.0475009099608996,0
C.PAR,E.RV.EB,-0.0347314423155774,0
C.SAR,vsd.Cd,-0.0242350105435709,0
C.PAR,vsd.Cd,0.0165096835394536,0
R.SVEN,E.RV.EA,-0.0139003555871294,0
C.SAR,V0.LV,-0.0130325896720555,0
C.SAR,E.LV.EA,-0.00763785533301802,0
C.PAR,V0.RV,0.0069556298708551,0
