Parameter,ColumnNorm,Inactive,MaxAbsCorrelation,MostCorrelatedWith,Flagged
group.R_sys_scale,15.417984773656,0,0.453869074041991,group.R_pul_scale,0
R.SVEN,6.72442305089862,0,0.714928500855967,E.LV.EA,0
group.R_pul_scale,27.3103757362757,0,0.709136095024759,E.LV.EB,0
C.SAR,7.66521670303738,0,0.70145199485621,group.R_pul_scale,0
C.PAR,9.52077818802702,0,0.475978883187947,E.LV.EA,0
E.LV.EA,3.91896868108834,0,0.902257560925454,E.LV.EB,1
E.LV.EB,7.32008712784174,0,0.902257560925454,E.LV.EA,1
E.RV.EA,2.39359412909499,0,0.963387086333259,V0.RV,1
E.RV.EB,6.80873880061704,0,0.925796975705592,V0.RV,1
V0.LV,0.312425119070478,0,0.420165511124491,E.RV.EB,0
V0.RV,0.617078020373112,0,0.963387086333259,E.RV.EA,1
vsd.Cd,4.26034740196373,0,0.787212679331257,E.LV.EA,0
