Parameter,ColumnNorm,Inactive,MaxAbsCorrelation,MostCorrelatedWith,Flagged
group.R_sys_scale,16.8503188336658,0,0.559235255333224,E.LV.EB,0
R.SVEN,11.0289064057107,0,0.864212003888922,V0.RV,0
group.R_pul_scale,26.9789825048921,0,0.79533544280576,E.LV.EB,0
C.SAR,8.46929840289192,0,0.648958118000879,group.R_pul_scale,0
C.PAR,9.66090144676068,0,0.422745353996046,E.LV.EA,0
E.LV.EA,2.05761138037263,0,0.861591722595429,E.LV.EB,0
E.LV.EB,6.44867246270067,0,0.861591722595429,E.LV.EA,0
E.RV.EA,2.01000682027428,0,0.906477880498193,E.RV.EB,1
E.RV.EB,7.48392612198669,0,0.906477880498193,E.RV.EA,1
V0.LV,0.509543453136676,0,0.890513353372391,E.RV.EB,0
V0.RV,0.538070181832961,0,0.864212003888922,R.SVEN,0
vsd.Cd,3.87722616372967,0,0.818317861626426,E.LV.EA,0
