ParameterA,ParameterB,Correlation,Collinear
E.RV.EA,E.RV.EB,-0.906477880498193,1
E.RV.EB,V0.LV,0.890513353372391,0
R.SVEN,V0.RV,-0.864212003888922,0
E.LV.EA,E.LV.EB,-0.861591722595429,0
E.LV.EA,vsd.Cd,-0.818317861626426,0
group.R_pul_scale,E.LV.EB,0.79533544280576,0
E.RV.EA,V0.LV,-0.777404250931137,0
E.LV.EB,vsd.Cd,0.757685201957123,0
V0.LV,V0.RV,-0.658632067135213,0
group.R_pul_scale,C.SAR,-0.648958118000879,0
R.SVEN,E.LV.EA,0.634701340517939,0
R.SVEN,C.SAR,-0.630119498186805,0
group.R_pul_scale,E.RV.EA,0.577199716168991,0
E.LV.EA,E.RV.EB,0.571588504358499,0
group.R_sys_scale,E.LV.EB,-0.559235255333224,0
C.SAR,V0.RV,0.553403176888813,0
group.R_sys_scale,vsd.Cd,-0.505252862309278,0
E.RV.EB,V0.RV,-0.496981608045927,0
E.LV.EB,E.RV.EA,0.491319212509612,0
group.R_sys_scale,group.R_pul_scale,-0.490824530902221,0
E.LV.EA,V0.RV,-0.481250294396019,0
E.LV.EB,E.RV.EB,-0.46655876234155,0
E.LV.EA,V0.LV,0.45516055357716,0
R.SVEN,E.RV.EB,0.431032016296938,0
R.SVEN,V0.LV,0.429764411764057,0
C.PAR,E.LV.EA,-0.422745353996046,0
R.SVEN,vsd.Cd,-0.416641794817597,0
group.R_pul_scale,V0.RV,-0.415855750145065,0
R.SVEN,group.R_pul_scale,0.411595259435365,0
group.R_pul_scale,E.LV.EA,-0.391890963825086,0
group.R_sys_scale,E.LV.EA,0.390599467030835,0
group.R_pul_scale,vsd.Cd,0.38694626238827,0
E.LV.EA,E.RV.EA,-0.377741576276855,0
C.PAR,V0.RV,0.369589520496423,0
C.PAR,E.LV.EB,0.333881846913856,0
E.LV.EB,V0.LV,-0.327483320335243,0
group.R_sys_scale,C.SAR,0.325438993807693,0
group.R_pul_scale,E.RV.EB,-0.300082620476572,0
C.SAR,E.RV.EA,-0.294120178768729,0
E.RV.EB,vsd.Cd,-0.287317935825177,0
R.SVEN,C.PAR,-0.271425850594002,0
C.SAR,E.LV.EB,-0.260167773875941,0
group.R_sys_scale,E.RV.EB,-0.226942887778767,0
C.SAR,C.PAR,0.206326851667908,0
group.R_sys_scale,V0.LV,-0.198841152707366,0
group.R_sys_scale,V0.RV,0.193627530903316,0
group.R_pul_scale,V0.LV,-0.180483959512304,0
C.SAR,E.LV.EA,-0.180252685038403,0
R.SVEN,E.LV.EB,-0.174682574586616,0
E.RV.EA,vsd.Cd,0.172327239055233,0
group.R_sys_scale,E.RV.EA,0.16614852684302,0
E.RV.EA,V0.RV,0.128900546541036,0
C.PAR,E.RV.EA,-0.0984845452321697,0
C.PAR,vsd.Cd,0.0850313775629467,0
V0.LV,vsd.Cd,-0.0707453988048975,0
E.LV.EB,V0.RV,0.0647119002010403,0
V0.RV,vsd.Cd,0.0644697505990535,0
group.R_sys_scale,C.PAR,0.0573937538575287,0
C.SAR,V0.LV,-0.0562299131576091,0
C.PAR,E.RV.EB,-0.041832703042626,0
C.SAR,E.RV.EB,-0.0281682008413716,0
group.R_sys_scale,R.SVEN,0.0270866596429862,0
C.SAR,vsd.Cd,0.0236701252202142,0
R.SVEN,E.RV.EA,-0.0224669323891746,0
group.R_pul_scale,C.PAR,0.0219117115691623,0
C.PAR,V0.LV,0.00846323434759708,0
