Parameter,ColumnNorm,Inactive,MaxAbsCorrelation,MostCorrelatedWith,Flagged
group.R_sys_scale,16.2449278512727,0,0.709461624339616,R.SVEN,0
R.SVEN,6.11534744353076,0,0.774638026528031,E.LV.EA,0
group.R_pul_scale,27.4081419296374,0,0.734838285059043,E.LV.EB,0
C.SAR,7.95309100747242,0,0.62133843143027,V0.LV,0
C.PAR,9.04722901954261,0,0.452979330761355,E.LV.EA,0
E.LV.EA,2.30931524032914,0,0.921302033967821,E.LV.EB,1
E.LV.EB,6.6907002757374,0,0.921302033967821,E.LV.EA,1
E.RV.EA,1.43006420142071,0,0.795107610105246,E.RV.EB,0
E.RV.EB,7.55834506272173,0,0.795107610105246,E.RV.EA,0
V0.LV,0.348258212911647,0,0.774417187093977,V0.RV,0
V0.RV,0.423467638993086,0,0.774417187093977,V0.LV,0
vsd.Cd,3.97994148053511,0,0.917468485508126,E.LV.EA,1
