ParameterA,ParameterB,Correlation,Collinear
E.LV.EA,E.LV.EB,-0.921302033967821,1
E.LV.EA,vsd.Cd,-0.917468485508126,1
E.RV.EA,E.RV.EB,-0.795107610105246,0
E.LV.EB,vsd.Cd,0.795089789785711,0
R.SVEN,E.LV.EA,0.774638026528031,0
V0.LV,V0.RV,0.774417187093977,0
E.RV.EB,V0.RV,-0.736662585822119,0
group.R_pul_scale,E.LV.EB,0.734838285059043,0
group.R_sys_scale,R.SVEN,0.709461624339616,0
R.SVEN,vsd.Cd,-0.670219709957621,0
C.SAR,V0.LV,0.62133843143027,0
group.R_pul_scale,C.SAR,-0.616008932548602,0
E.RV.EB,V0.LV,-0.606417809313149,0
group.R_pul_scale,E.RV.EA,0.601575426928467,0
R.SVEN,E.LV.EB,-0.585769132819514,0
R.SVEN,V0.LV,-0.572710753413125,0
group.R_sys_scale,E.LV.EA,0.543013391062991,0
group.R_sys_scale,E.LV.EB,-0.536733607790484,0
E.LV.EB,E.RV.EB,-0.513285209391846,0
C.SAR,V0.RV,0.506076608371396,0
group.R_sys_scale,vsd.Cd,-0.468307937398252,0
E.LV.EA,E.RV.EB,0.454629971587299,0
C.PAR,E.LV.EA,-0.452979330761355,0
E.LV.EB,E.RV.EA,0.451390190202359,0
group.R_pul_scale,E.LV.EA,-0.431157877837601,0
group.R_sys_scale,group.R_pul_scale,-0.430694408167054,0
group.R_pul_scale,V0.LV,-0.425352318405039,0
E.LV.EA,V0.LV,-0.414288662404613,0
R.SVEN,V0.RV,-0.397354238194041,0
E.LV.EA,V0.RV,-0.3800383569924,0
C.PAR,E.LV.EB,0.368523004393354,0
group.R_pul_scale,V0.RV,-0.364339242676483,0
V0.RV,vsd.Cd,0.357017980412972,0
group.R_pul_scale,vsd.Cd,0.328473887456409,0
group.R_sys_scale,V0.RV,0.324307259086983,0
E.RV.EB,vsd.Cd,-0.320913972953725,0
V0.LV,vsd.Cd,0.320000392051311,0
C.SAR,E.RV.EA,-0.314540484042761,0
E.RV.EA,V0.RV,0.27971173651461,0
C.PAR,V0.RV,0.273790096634408,0
C.PAR,vsd.Cd,0.26594170866009,0
group.R_sys_scale,C.SAR,0.259169467327856,0
group.R_sys_scale,E.RV.EB,-0.258169341262513,0
group.R_sys_scale,E.RV.EA,0.256610028421945,0
R.SVEN,C.PAR,-0.249569699577664,0
R.SVEN,E.RV.EB,0.240598110357228,0
R.SVEN,C.SAR,-0.228352110761157,0
C.PAR,V0.LV,0.225960539800574,0
group.R_pul_scale,E.RV.EB,-0.22477051875887,0
C.SAR,C.PAR,0.195678550567764,0
E.LV.EB,V0.LV,0.188701374347106,0
E.LV.EB,V0.RV,0.184020921108413,0
E.LV.EA,E.RV.EA,-0.183941565272276,0
C.PAR,E.RV.EB,-0.175333947931123,0
R.SVEN,E.RV.EA,0.174701517906163,0
C.SAR,E.LV.EB,-0.165690282352935,0
C.SAR,E.RV.EB,-0.130116817488856,0
C.SAR,E.LV.EA,-0.12356294808706,0
group.R_sys_scale,V0.LV,0.113693605301276,0
C.SAR,vsd.Cd,0.092753621019896,0
E.RV.EA,vsd.Cd,0.0781030317455151,0
C.PAR,E.RV.EA,-0.0553725329946263,0
group.R_pul_scale,C.PAR,0.0326778062392666,0
R.SVEN,group.R_pul_scale,-0.0288995317120712,0
E.RV.EA,V0.LV,0.0182633044270307,0
group.R_sys_scale,C.PAR,-0.00917296448626009,0
