ParameterA,ParameterB,Correlation,Collinear
E.RV.EA,E.RV.EB,-0.910442764357637,1
E.LV.EA,E.LV.EB,-0.860024474217682,0
group.R_pul_scale,E.LV.EB,0.853250894587035,0
R.SVEN,V0.RV,-0.80249379170247,0
E.LV.EA,vsd.Cd,-0.798092481278086,0
E.RV.EB,V0.RV,-0.790342711063291,0
E.RV.EB,V0.LV,0.748352620700529,0
E.LV.EB,vsd.Cd,0.729217679034008,0
group.R_pul_scale,C.SAR,-0.655866810373691,0
E.RV.EA,V0.LV,-0.65020221048132,0
V0.LV,V0.RV,-0.613659217833062,0
R.SVEN,C.SAR,-0.612887553794275,0
R.SVEN,E.LV.EA,0.575155153417505,0
group.R_sys_scale,E.LV.EB,-0.548911946616549,0
group.R_pul_scale,E.RV.EA,0.520983892870764,0
group.R_sys_scale,vsd.Cd,-0.517373995943416,0
E.LV.EA,E.RV.EB,0.512913164216528,0
E.LV.EA,V0.RV,-0.511438197627163,0
E.RV.EA,V0.RV,0.506212202291803,0
group.R_sys_scale,V0.LV,-0.503856949195006,0
E.LV.EB,E.RV.EA,0.4813768988425,0
group.R_sys_scale,group.R_pul_scale,-0.477502357908803,0
C.PAR,E.LV.EA,-0.472541415087818,0
group.R_pul_scale,E.LV.EA,-0.471152260261018,0
C.SAR,V0.RV,0.46337866029384,0
group.R_sys_scale,E.LV.EA,0.461008692061288,0
E.LV.EB,E.RV.EB,-0.455100786674017,0
R.SVEN,group.R_pul_scale,0.424052576463647,0
group.R_pul_scale,vsd.Cd,0.416216431777875,0
R.SVEN,vsd.Cd,-0.407807147987994,0
C.PAR,V0.LV,-0.394187364875801,0
group.R_sys_scale,V0.RV,0.355625258732119,0
C.SAR,E.LV.EB,-0.350953054589731,0
R.SVEN,E.RV.EB,0.34340144040873,0
C.PAR,E.LV.EB,0.341023848913146,0
E.LV.EA,E.RV.EA,-0.334430309226757,0
group.R_sys_scale,C.SAR,0.317151609592956,0
group.R_sys_scale,E.RV.EB,-0.295919773010569,0
group.R_pul_scale,E.RV.EB,-0.295134019192859,0
group.R_sys_scale,E.RV.EA,0.288795021282813,0
C.SAR,E.RV.EA,-0.282772253242713,0
R.SVEN,C.PAR,-0.261626524236051,0
V0.LV,vsd.Cd,0.26138393852242,0
V0.RV,vsd.Cd,0.258367618123132,0
E.LV.EA,V0.LV,0.254113183077475,0
group.R_pul_scale,V0.RV,-0.241830625048242,0
C.PAR,V0.RV,0.240456019424403,0
E.RV.EB,vsd.Cd,-0.22755967778992,0
R.SVEN,V0.LV,0.205692312450563,0
E.LV.EB,V0.LV,-0.167010491192747,0
E.LV.EB,V0.RV,0.14887682443315,0
C.PAR,vsd.Cd,0.142213256216157,0
E.RV.EA,vsd.Cd,0.131586640564122,0
C.SAR,C.PAR,0.121041657664843,0
C.PAR,E.RV.EB,-0.11284870947053,0
group.R_pul_scale,C.PAR,0.0961449886314486,0
R.SVEN,E.LV.EB,-0.0881382876258567,0
group.R_pul_scale,V0.LV,-0.0769446236514834,0
C.SAR,V0.LV,-0.0633242313491951,0
group.R_sys_scale,R.SVEN,0.0545374421204704,0
group.R_sys_scale,C.PAR,0.0500647798807823,0
C.SAR,E.LV.EA,-0.0442181398466843,0
R.SVEN,E.RV.EA,0.0393051036240046,0
C.PAR,E.RV.EA,0.0236792741215501,0
C.SAR,vsd.Cd,-0.0195191789557412,0
C.SAR,E.RV.EB,-0.0040621084283035,0
