Parameter,ColumnNorm,Inactive,MaxAbsCorrelation,MostCorrelatedWith,Flagged
group.R_sys_scale,17.4339007202916,0,0.548911946616549,E.LV.EB,0
R.SVEN,10.4382888231996,0,0.80249379170247,V0.RV,0
group.R_pul_scale,25.97376587836,0,0.853250894587035,E.LV.EB,0
C.SAR,8.05467331018046,0,0.655866810373691,group.R_pul_scale,0
C.PAR,8.98954537904926,0,0.472541415087818,E.LV.EA,0
E.LV.EA,4.76813814579422,0,0.860024474217682,E.LV.EB,0
E.LV.EB,6.83327327836684,0,0.860024474217682,E.LV.EA,0
E.RV.EA,2.30193045875807,0,0.910442764357637,E.RV.EB,1
E.RV.EB,8.25608163584744,0,0.910442764357637,E.RV.EA,1
V0.LV,0.178607106867824,0,0.748352620700529,E.RV.EB,0
V0.RV,0.659480687495533,0,0.80249379170247,R.SVEN,0
vsd.Cd,3.06286100125307,0,0.798092481278086,E.LV.EA,0
