Comparison,ValueA_mL,ValueB_mL,RelativeDifference,Severity
SV_Qs_vs_SV_Qp,28.7647058823529,34.3450588235294,0.176845943482224,none
SV_Qp_vs_SV_LV,34.3450588235294,21.7,0.451246161177036,strong
SV_Qp_vs_SV_RV,34.3450588235294,18.5,0.599679863218332,critical
SV_Qs_vs_SV_LV,28.7647058823529,21.7,0.279986012355752,mild
SV_Qs_vs_SV_RV,28.7647058823529,18.5,0.434349719975109,strong
SV_LV_vs_SV_RV,21.7,18.5,0.159203980099502,none
