Parameter,ColumnNorm,Inactive,MaxAbsCorrelation,MostCorrelatedWith,Flagged
group.R_sys_scale,14.510343648864,0,0.764549413775674,R.SVEN,0
R.SVEN,4.53209461926992,0,0.764549413775674,group.R_sys_scale,0
C.SAR,5.93951772806452,0,0.510029640011646,V0.RV,0
E.LV.EA,6.92373294836006,0,0.941793388261306,E.LV.EB,1
E.LV.EB,10.1471900148938,0,0.941793388261306,E.LV.EA,1
E.RV.EA,3.02610977871549,0,0.954106751044382,E.RV.EB,1
E.RV.EB,9.86574807382662,0,0.954106751044382,E.RV.EA,1
V0.LV,0.444031273590387,0,0.409518162109256,R.SVEN,0
V0.RV,0.28001637493294,0,0.510029640011646,C.SAR,0
