ParameterA,ParameterB,Correlation,Collinear
E.RV.EA,E.RV.EB,-0.968943765027214,1
E.RV.EB,V0.RV,-0.91427248422852,1
E.LV.EA,E.LV.EB,-0.905249765763566,1
group.R_sys_scale,R.SVEN,0.883415956630315,0
E.RV.EA,V0.RV,0.82403166589963,0
E.LV.EA,vsd.Cd,-0.769291065205294,0
R.SVEN,E.LV.EA,0.764451040686135,0
group.R_pul_scale,E.LV.EB,0.749535862308312,0
V0.LV,V0.RV,-0.696546638866607,0
E.LV.EB,vsd.Cd,0.682143786611011,0
E.RV.EA,V0.LV,-0.674212934127565,0
R.SVEN,vsd.Cd,-0.644331013227263,0
R.SVEN,E.LV.EB,-0.629310865438772,0
group.R_pul_scale,C.SAR,-0.622834339228684,0
E.RV.EB,V0.LV,0.619818922967435,0
group.R_sys_scale,vsd.Cd,-0.552759512392974,0
E.LV.EA,V0.RV,-0.545808710794949,0
E.LV.EB,E.RV.EA,0.526165547065625,0
E.LV.EB,E.RV.EB,-0.523670622768002,0
C.PAR,E.LV.EA,-0.522757206491517,0
E.LV.EB,V0.LV,-0.507197733053072,0
group.R_sys_scale,E.LV.EA,0.495511062984176,0
E.LV.EA,E.RV.EB,0.485530160413113,0
E.LV.EA,V0.LV,0.485475633047039,0
group.R_sys_scale,E.LV.EB,-0.472401675599923,0
C.SAR,V0.RV,0.430914660479823,0
E.LV.EB,V0.RV,0.422654213113583,0
group.R_sys_scale,group.R_pul_scale,-0.415166948990703,0
group.R_pul_scale,E.LV.EA,-0.412563694339648,0
E.LV.EA,E.RV.EA,-0.394667678207999,0
C.PAR,V0.RV,0.390693469644124,0
C.PAR,E.LV.EB,0.380754270366713,0
group.R_sys_scale,E.RV.EA,0.351433581059287,0
group.R_sys_scale,E.RV.EB,-0.349604501357995,0
group.R_pul_scale,E.RV.EA,0.346208389109362,0
group.R_pul_scale,vsd.Cd,0.342884658307651,0
group.R_sys_scale,V0.RV,0.321713839978618,0
C.PAR,V0.LV,-0.299316557211224,0
group.R_sys_scale,C.SAR,0.276333061992177,0
R.SVEN,group.R_pul_scale,-0.273970254419217,0
C.PAR,vsd.Cd,0.23641293306915,0
group.R_pul_scale,V0.LV,-0.235835883900661,0
C.SAR,C.PAR,0.232540346320946,0
C.PAR,E.RV.EB,-0.225322119535296,0
R.SVEN,V0.LV,0.221165105032366,0
group.R_pul_scale,E.RV.EB,-0.201128880768139,0
R.SVEN,C.PAR,-0.182234754246817,0
C.SAR,E.LV.EB,-0.170706773097119,0
C.SAR,E.RV.EB,-0.16343368423673,0
R.SVEN,V0.RV,-0.139267821009693,0
C.SAR,E.LV.EA,-0.13666511188519,0
C.PAR,E.RV.EA,0.129338320135493,0
C.SAR,V0.LV,-0.113185684394022,0
group.R_pul_scale,V0.RV,-0.0917927430797537,0
V0.RV,vsd.Cd,0.091746738540179,0
E.RV.EB,vsd.Cd,-0.0857554629827893,0
group.R_sys_scale,V0.LV,-0.0557005894221573,0
R.SVEN,E.RV.EA,0.0431681081108867,0
R.SVEN,E.RV.EB,0.0297297808439786,0
C.SAR,vsd.Cd,0.0276360886935854,0
E.RV.EA,vsd.Cd,-0.025355765170539,0
R.SVEN,C.SAR,0.0223624641689317,0
group.R_sys_scale,C.PAR,0.0179218443634056,0
group.R_pul_scale,C.PAR,0.00796328952647554,0
C.SAR,E.RV.EA,0.00711867126779126,0
V0.LV,vsd.Cd,0.00404494701407626,0
