ParameterA,ParameterB,Correlation,Collinear
E.RV.EB,V0.LV,-0.943632475822846,1
E.RV.EB,V0.RV,0.904471659724747,1
E.LV.EA,E.LV.EB,-0.903478132195432,1
V0.LV,V0.RV,-0.890269097989935,0
E.RV.EA,V0.RV,-0.811331135409769,0
E.RV.EA,E.RV.EB,-0.786626438816748,0
E.LV.EA,vsd.Cd,-0.716273682971316,0
E.LV.EB,vsd.Cd,0.670774035943216,0
group.R_sys_scale,R.SVEN,0.666123376838277,0
group.R_pul_scale,E.LV.EB,0.665063007092792,0
E.RV.EA,V0.LV,0.646955125239428,0
group.R_pul_scale,E.RV.EA,0.639551132695661,0
R.SVEN,vsd.Cd,-0.630293561734305,0
E.LV.EA,E.RV.EB,0.623924084837544,0
group.R_pul_scale,C.SAR,-0.598707670141963,0
R.SVEN,E.LV.EA,0.592868438042226,0
E.LV.EA,V0.LV,-0.560251448355023,0
E.LV.EB,E.RV.EB,-0.485747055696346,0
E.LV.EA,V0.RV,0.485455428649345,0
E.LV.EB,E.RV.EA,0.474762167715392,0
group.R_sys_scale,E.LV.EB,-0.474316086628465,0
group.R_sys_scale,V0.RV,-0.458333779784199,0
group.R_sys_scale,vsd.Cd,-0.436768663313923,0
E.LV.EB,V0.RV,-0.418329534093624,0
group.R_sys_scale,V0.LV,0.401339046842902,0
C.SAR,E.RV.EA,-0.394080643720811,0
group.R_sys_scale,group.R_pul_scale,-0.381104586083547,0
C.PAR,E.LV.EA,-0.379927977255494,0
R.SVEN,E.LV.EB,-0.378199207353572,0
group.R_sys_scale,E.LV.EA,0.355839179453434,0
E.LV.EA,E.RV.EA,-0.342344083564928,0
E.LV.EB,V0.LV,0.337880849724454,0
R.SVEN,E.RV.EA,0.326344923510256,0
C.PAR,E.LV.EB,0.30689924420557,0
V0.LV,vsd.Cd,0.303060595368739,0
group.R_pul_scale,E.LV.EA,-0.300345116313311,0
C.SAR,E.LV.EB,-0.29825442161601,0
E.RV.EB,vsd.Cd,-0.295241210995173,0
group.R_sys_scale,C.SAR,0.27189406449359,0
group.R_sys_scale,E.RV.EB,-0.260996358097113,0
C.PAR,V0.RV,-0.235666119175754,0
group.R_pul_scale,V0.RV,-0.233194174398367,0
group.R_pul_scale,vsd.Cd,0.23294618507635,0
R.SVEN,group.R_pul_scale,0.225522245253131,0
group.R_sys_scale,E.RV.EA,0.218178872294468,0
C.PAR,E.RV.EA,-0.215993132966689,0
group.R_pul_scale,E.RV.EB,-0.185544893592885,0
R.SVEN,V0.RV,-0.182236469236382,0
E.RV.EA,vsd.Cd,0.18016707297456,0
R.SVEN,C.PAR,-0.153541309611047,0
group.R_pul_scale,C.PAR,-0.133463782952985,0
R.SVEN,V0.LV,-0.132040747511086,0
R.SVEN,C.SAR,-0.11944310377854,0
C.PAR,V0.LV,0.109007967852527,0
C.SAR,vsd.Cd,-0.106176236122679,0
C.SAR,C.PAR,0.102176512241112,0
group.R_sys_scale,C.PAR,0.0964222847974144,0
C.SAR,V0.RV,0.095463990813855,0
V0.RV,vsd.Cd,-0.0780329430107952,0
R.SVEN,E.RV.EB,0.0746698861447888,0
C.SAR,V0.LV,0.0677319043529351,0
group.R_pul_scale,V0.LV,-0.0613786349021058,0
C.SAR,E.RV.EB,0.0485986488225401,0
C.SAR,E.LV.EA,0.0467839245916046,0
C.PAR,E.RV.EB,0.0125212504006282,0
C.PAR,vsd.Cd,0.00579291948937729,0
