Parameter,ColumnNorm,Inactive,MaxAbsCorrelation,MostCorrelatedWith,Flagged
group.R_sys_scale,15.1922320563299,0,0.666123376838277,R.SVEN,0
R.SVEN,5.83308203507494,0,0.666123376838277,group.R_sys_scale,0
group.R_pul_scale,28.5507960205707,0,0.665063007092792,E.LV.EB,0
C.SAR,6.43019551966766,0,0.598707670141963,group.R_pul_scale,0
C.PAR,8.9651967647656,0,0.379927977255494,E.LV.EA,0
E.LV.EA,5.5528429082191,0,0.903478132195432,E.LV.EB,1
E.LV.EB,9.02856898547221,0,0.903478132195432,E.LV.EA,1
E.RV.EA,2.58277792856006,0,0.811331135409769,V0.RV,0
E.RV.EB,6.39061132577201,0,0.943632475822846,V0.LV,1
V0.LV,0.631248823950215,0,0.943632475822846,E.RV.EB,1
V0.RV,0.500774326928639,0,0.904471659724747,E.RV.EB,1
vsd.Cd,3.98646565027705,0,0.716273682971316,E.LV.EA,0
