ParameterA,ParameterB,Correlation,Collinear
E.RV.EA,E.RV.EB,-0.954106751044382,1
E.LV.EA,E.LV.EB,-0.941793388261306,1
group.R_sys_scale,R.SVEN,0.764549413775674,0
R.SVEN,E.LV.EA,0.696814318591933,0
E.LV.EA,E.RV.EB,0.568780911425011,0
R.SVEN,E.LV.EB,-0.554295894611418,0
C.SAR,V0.RV,0.510029640011646,0
E.LV.EB,E.RV.EA,0.507495199620933,0
E.LV.EB,E.RV.EB,-0.495889059955359,0
E.RV.EA,V0.RV,-0.488024627343972,0
E.LV.EA,E.RV.EA,-0.481269123170397,0
group.R_sys_scale,E.LV.EB,-0.480742916756545,0
group.R_sys_scale,E.LV.EA,0.420095908413845,0
R.SVEN,V0.LV,-0.409518162109256,0
group.R_sys_scale,E.RV.EA,0.392765266423407,0
group.R_sys_scale,E.RV.EB,-0.378437196719685,0
E.LV.EB,V0.RV,-0.362328886409086,0
group.R_sys_scale,C.SAR,0.345259181341562,0
C.SAR,E.LV.EB,-0.333423283819208,0
R.SVEN,V0.RV,-0.28245513238825,0
E.LV.EA,V0.LV,-0.267973453978015,0
E.RV.EB,V0.RV,0.262741935628748,0
C.SAR,V0.LV,0.240641659059336,0
E.RV.EB,V0.LV,-0.214827460462076,0
V0.LV,V0.RV,-0.206204655910635,0
group.R_sys_scale,V0.LV,-0.203476482921578,0
E.LV.EB,V0.LV,0.159382220422043,0
C.SAR,E.RV.EA,-0.156635477919496,0
C.SAR,E.LV.EA,0.122081287087992,0
R.SVEN,E.RV.EA,0.102650487513319,0
E.LV.EA,V0.RV,0.0933507822446295,0
E.RV.EA,V0.LV,0.0882526076059912,0
R.SVEN,E.RV.EB,0.0771835676521168,0
group.R_sys_scale,V0.RV,0.0521445876993961,0
R.SVEN,C.SAR,0.0478439097170602,0
C.SAR,E.RV.EB,-0.0190367985248453,0
