Metric,Parameter,ST_Initial,ST_Final,Delta_ST
CO_Lmin,R.SVEN,0.145993345065175,0.24343335388644,0.0974400088212641
CO_Lmin,R.SC,0.408369318940699,0.215079395543904,-0.193289923396795
CO_Lmin,C.SVEN,0.211596944394626,0.21072587140984,-0.000871072984785948
CO_Lmin,C.PVEN,0.0215706074414694,0.170491776756663,0.148921169315193
CO_Lmin,E.LV.EB,0.033724965418073,0.0774747620836664,0.0437497966655933
CO_Lmin,E.LV.EA,0.0350662622943078,0.0345832850824343,-0.000482977211873521
CO_Lmin,C.SAR,0.102105832687163,0.0157669714093087,-0.0863388612778546
CO_Lmin,R.PVEN,0.0116602417336838,0.0142863065273267,0.00262606479364297
CO_Lmin,E.RA.EA,0.00191556338949555,0.00887293852435224,0.00695737513485669
CO_Lmin,C.PAR,0.0542390018107976,0.00686271457037746,-0.0473762872404201
CO_Lmin,vsd.Cd,0.00408144214722209,0.00242262420568792,-0.00165881794153417
CO_Lmin,R.PCOX,0.020851772432209,0,-0.020851772432209
CO_Lmin,E.RV.EB,0.0105485086176757,0,-0.0105485086176757
CO_Lmin,E.LA.EA,0.00436095074020008,0,-0.00436095074020008
CO_Lmin,V0.RA,0.00396873721758077,0,-0.00396873721758077
CO_Lmin,R.SAR,0.00310052143144035,0,-0.00310052143144035
CO_Lmin,E.RV.EA,0.00215569757398681,0,-0.00215569757398681
CO_Lmin,V0.RV,0.00212207053028508,0,-0.00212207053028508
CO_Lmin,V0.LV,0.000807161494235929,0,-0.000807161494235929
CO_Lmin,R.PAR,0.000376032559065735,0,-0.000376032559065735
CO_Lmin,V0.LA,3.67886369571848e-05,0,-3.67886369571848e-05
LAP_mean,E.LV.EB,0.419869841751753,0.358119946190114,-0.0617498955616389
LAP_mean,C.PVEN,0.0364684401064801,0.268186259700463,0.231717819593983
LAP_mean,C.SVEN,0.143244112614227,0.172326559647043,0.0290824470328157
LAP_mean,R.SVEN,0.070832295731507,0.126339254415583,0.0555069586840765
LAP_mean,E.LV.EA,0.112423629273842,0.0458295925917365,-0.0665940366821051
LAP_mean,C.SAR,0.0536806060864638,0.0259164253087838,-0.0277641807776801
LAP_mean,R.PVEN,0.034068440232151,0.0149522965131266,-0.0191161437190244
LAP_mean,C.PAR,0.0985094512753821,0.00598422124519374,-0.0925252300301884
LAP_mean,R.SC,0.00400563689790435,0.00516505293619229,0.00115941603828793
LAP_mean,R.PCOX,0.0278775268041027,0.00470950787156796,-0.0231680189325347
LAP_mean,E.RV.EA,0.00537472355291104,0.00413202403129168,-0.00124269952161936
LAP_mean,E.RV.EB,0.00601850744090536,0.00300240806766929,-0.00301609937323607
LAP_mean,E.RA.EA,0.00270015414152365,0.00300089491054039,0.000300740769016741
LAP_mean,E.LA.EA,0.00712893868266068,0.00265161996075313,-0.00447731872190755
LAP_mean,vsd.Cd,0.00256073882038486,0.00166219794304315,-0.000898540877341703
LAP_mean,V0.LV,0.00120813798339847,0.00142816133309128,0.000220023349692808
LAP_mean,R.PAR,1.51173093653307e-05,0.000884563101341956,0.000869445791976625
LAP_mean,R.SAR,0,0.000681065014686762,0.000681065014686762
LAP_mean,V0.RA,0.000471934213447224,0.000472777690284256,8.4347683703182e-07
LAP_mean,V0.RV,0.000150439564907657,0,-0.000150439564907657
LAP_mean,V0.LA,0.00012717875131967,0,-0.00012717875131967
LVEDV,C.PVEN,0.054212228134658,0.280724213500132,0.226511985365474
LVEDV,C.SVEN,0.192526973126009,0.229838166038301,0.0373111929122921
LVEDV,E.LV.EB,0.0836254170721414,0.142649881251691,0.0590244641795492
LVEDV,E.LV.EA,0.249787440832272,0.140491079990733,-0.109296360841539
LVEDV,R.SVEN,0.0839178040119623,0.140232198421919,0.0563143944099566
LVEDV,C.SAR,0.0901017256048217,0.0409006015203548,-0.0492011240844668
LVEDV,R.PVEN,0.0262049981596187,0.0372151432705699,0.0110101451109512
LVEDV,R.SC,0.0177036988170238,0.0115550993847961,-0.00614859943222767
LVEDV,R.PCOX,0.0378523309879851,0.0107013780405897,-0.0271509529473954
LVEDV,C.PAR,0.117266801463077,0.00534328709118467,-0.111923514371892
LVEDV,V0.LV,0.067470013618185,0.00248852713712451,-0.0649814864810605
LVEDV,E.RA.EA,0,0.00226155874821682,0.00226155874821682
LVEDV,R.PAR,0.00378628703695317,0.00154182101861862,-0.00224446601833455
LVEDV,E.RV.EB,0.00666505301657768,0.000731583648900736,-0.00593346936767694
LVEDV,vsd.Cd,0.000773272510446491,0.000560920476087374,-0.000212352034359117
LVEDV,E.RV.EA,0.00506089398587126,0.000532648492306848,-0.00452824549356441
LVEDV,V0.RV,0,0.000466116186097129,0.000466116186097129
LVEDV,V0.RA,0.000471904169883798,0.000428701675343644,-4.32024945401531e-05
LVEDV,V0.LA,0.00111054073269811,0,-0.00111054073269811
LVEDV,R.SAR,0,0,0
LVEDV,E.LA.EA,0,0,0
LVEF,E.LV.EA,0.564667968173397,0.724188877654691,0.159520909481294
LVEF,R.SC,0.24688195790194,0.239359224004765,-0.00752273389717495
LVEF,C.SAR,0.00402563908235493,0.0116123865940734,0.00758674751171848
LVEF,R.SVEN,0.0202202003243252,0.0115478984832737,-0.00867230184105147
LVEF,V0.LV,0.132582995530944,0.0103638965956769,-0.122219098935267
LVEF,vsd.Cd,0.00708170953691118,0.00580227927212697,-0.00127943026478421
LVEF,R.SAR,0,0.00140989623466906,0.00140989623466906
LVEF,E.RV.EB,0.00265715033812279,0.000847562083322682,-0.00180958825480011
LVEF,C.SVEN,0.0218068017031212,0.000650625826356972,-0.0211561758767642
LVEF,C.PVEN,0.00133125222262373,0.000574717666080071,-0.000756534556543662
LVEF,V0.RA,0.00313862726220359,0.000562785204630268,-0.00257584205757332
LVEF,R.PCOX,0.0013064441555866,0.000431588485928004,-0.000874855669658596
LVEF,R.PVEN,0.000724996908236984,0.000388761717463505,-0.000336235190773479
LVEF,E.LV.EB,0.000636899935007415,0.000278933765253998,-0.000357966169753417
LVEF,E.RA.EA,0.00134506355105301,0.000266506781653164,-0.00107855676939985
LVEF,E.RV.EA,0.00101537248383184,0.000257679378966541,-0.000757693104865303
LVEF,V0.LA,0,0.000169558667869049,0.000169558667869049
LVEF,C.PAR,0.00209230183871132,1.5275601544692e-05,-0.00207702623716662
LVEF,V0.RV,0.00103779176684173,0,-0.00103779176684173
LVEF,R.PAR,0.000206300785939865,0,-0.000206300785939865
LVEF,E.LA.EA,0,0,0
LVESV,E.LV.EA,0.559687159724713,0.640208225834073,0.0805210661093602
LVESV,R.SC,0.140316023004107,0.139157745173152,-0.00115827783095454
LVESV,C.PVEN,0.0328336618753594,0.100918368661381,0.0680847067860221
LVESV,C.SVEN,0.0424582500807117,0.0657956727658288,0.0233374226851171
LVESV,E.LV.EB,0.034974720157753,0.0453992377561916,0.0104245175984386
LVESV,C.SAR,0.0598977065241679,0.038293847630581,-0.0216038588935869
LVESV,R.SVEN,0.00969767507849489,0.01107389215176,0.00137621707326515
LVESV,R.PVEN,0.014353771163943,0.0090533713244711,-0.00530039983947186
LVESV,V0.LV,0.112290278936458,0.00796549109015335,-0.104324787846305
LVESV,vsd.Cd,0.0047407438391418,0.00523928301454433,0.000498539175402529
LVESV,R.PCOX,0.0143786343897723,0.0038017963079111,-0.0105768380818612
LVESV,V0.RA,0.000913783078679339,0.00102320242107618,0.000109419342396839
LVESV,V0.RV,0,0.000899103289542697,0.000899103289542697
LVESV,E.RV.EB,0.00337950563274121,0.000128017275706046,-0.00325148835703516
LVESV,C.PAR,0.0289737227988476,0,-0.0289737227988476
LVESV,R.SAR,0,0,0
LVESV,R.PAR,0,0,0
LVESV,E.RV.EA,0,0,0
LVESV,E.LA.EA,0,0,0
LVESV,E.RA.EA,0,0,0
LVESV,V0.LA,0,0,0
LVP_max,R.SC,0.411449011026146,0.339662051270146,-0.0717869597559993
