Comparison,ValueA_mL,ValueB_mL,RelativeDifference,Severity
SV_Qs_vs_SV_Qp,21.344537815126,19.2100840336134,0.105263157894737,none
SV_Qp_vs_SV_LV,19.2100840336134,22.3256544502618,0.150018780470599,none
SV_Qp_vs_SV_RV,19.2100840336134,18.5,0.0376601671309192,none
SV_Qs_vs_SV_LV,21.344537815126,22.3256544502618,0.0449330119351615,none
SV_Qs_vs_SV_RV,21.344537815126,18.5,0.142781820099125,none
SV_LV_vs_SV_RV,22.3256544502618,18.5,0.18741423753158,none
