Parameter,ColumnNorm,Inactive,MaxAbsCorrelation,MostCorrelatedWith,Flagged
group.R_sys_scale,16.0993037087669,0,0.519904619157226,E.LV.EB,0
R.SVEN,8.28678738202232,0,0.853180456211162,V0.RV,0
group.R_pul_scale,26.3226349335005,0,0.768789098879203,E.LV.EB,0
C.SAR,6.97781888608733,0,0.607518071989427,group.R_pul_scale,0
C.PAR,8.74757140826592,0,0.477974912676233,E.LV.EA,0
E.LV.EA,4.61717292746035,0,0.888673467846313,E.LV.EB,0
E.LV.EB,6.34822675302342,0,0.888673467846313,E.LV.EA,0
E.RV.EA,2.45242234480999,0,0.902156819050857,E.RV.EB,1
E.RV.EB,8.22521400111433,0,0.902156819050857,E.RV.EA,1
V0.LV,0.462737375596785,0,0.904894471648192,V0.RV,1
V0.RV,0.59656930086516,0,0.904894471648192,V0.LV,1
vsd.Cd,3.48331924999882,0,0.829694065871153,E.LV.EA,0
