ParameterA,ParameterB,Correlation,Collinear
V0.LV,V0.RV,0.904894471648192,1
E.RV.EA,E.RV.EB,-0.902156819050857,1
E.LV.EA,E.LV.EB,-0.888673467846313,0
R.SVEN,V0.RV,-0.853180456211162,0
E.LV.EA,vsd.Cd,-0.829694065871153,0
E.RV.EB,V0.LV,-0.804374337976474,0
group.R_pul_scale,E.LV.EB,0.768789098879203,0
E.LV.EB,vsd.Cd,0.751531279247143,0
R.SVEN,V0.LV,-0.661123781984759,0
R.SVEN,E.LV.EA,0.646446922353091,0
group.R_pul_scale,C.SAR,-0.607518071989427,0
E.LV.EA,V0.LV,-0.592506037445368,0
C.SAR,V0.RV,0.584138945257247,0
E.RV.EB,V0.RV,-0.548450554207872,0
E.LV.EA,V0.RV,-0.537121072116928,0
group.R_pul_scale,E.RV.EA,0.536430355788213,0
E.LV.EA,E.RV.EB,0.533630608596404,0
R.SVEN,vsd.Cd,-0.525912189140785,0
group.R_sys_scale,E.LV.EB,-0.519904619157226,0
E.RV.EA,V0.LV,0.493940815931786,0
E.LV.EB,E.RV.EB,-0.484230181673125,0
E.LV.EB,E.RV.EA,0.479468335585628,0
C.PAR,E.LV.EA,-0.477974912676233,0
group.R_sys_scale,vsd.Cd,-0.476682566957998,0
group.R_pul_scale,V0.RV,-0.473818113909903,0
R.SVEN,C.SAR,-0.47160503445422,0
group.R_sys_scale,group.R_pul_scale,-0.438169218680631,0
group.R_sys_scale,E.LV.EA,0.430967737980176,0
C.PAR,V0.LV,0.394700525839887,0
group.R_pul_scale,E.LV.EA,-0.392892190362566,0
C.PAR,E.LV.EB,0.385557859373476,0
R.SVEN,group.R_pul_scale,0.384082631038776,0
group.R_pul_scale,vsd.Cd,0.342210892838408,0
E.LV.EA,E.RV.EA,-0.332434062606462,0
C.SAR,V0.LV,0.318385832684438,0
group.R_sys_scale,C.SAR,0.317942170774565,0
E.LV.EB,V0.LV,0.31744735120534,0
C.PAR,V0.RV,0.309379975632146,0
V0.RV,vsd.Cd,0.299259839971892,0
group.R_sys_scale,E.RV.EB,-0.281898402391069,0
E.RV.EB,vsd.Cd,-0.276907297036371,0
R.SVEN,E.RV.EB,0.274594796699472,0
group.R_sys_scale,R.SVEN,0.273373440637058,0
C.SAR,E.LV.EB,-0.264003176862883,0
group.R_sys_scale,E.RV.EA,0.263717157328195,0
group.R_pul_scale,E.RV.EB,-0.263456834138089,0
group.R_sys_scale,V0.LV,0.255435187957494,0
R.SVEN,E.LV.EB,-0.251659662876052,0
V0.LV,vsd.Cd,0.241754146860452,0
R.SVEN,C.PAR,-0.241009765496262,0
C.SAR,E.RV.EA,-0.238819745540895,0
group.R_sys_scale,V0.RV,0.196285661434661,0
group.R_pul_scale,V0.LV,-0.174409151583426,0
C.PAR,vsd.Cd,0.161182457340233,0
C.PAR,E.RV.EB,-0.147945678443116,0
E.RV.EA,V0.RV,0.137567600179094,0
E.RV.EA,vsd.Cd,0.135124188844906,0
E.LV.EB,V0.RV,0.131295057801939,0
R.SVEN,E.RV.EA,0.122588519592009,0
C.SAR,C.PAR,0.0961207720708066,0
group.R_pul_scale,C.PAR,0.0823586750764271,0
C.SAR,E.LV.EA,-0.0783270757696552,0
group.R_sys_scale,C.PAR,0.0622333553304177,0
C.SAR,E.RV.EB,-0.0496508411797864,0
C.PAR,E.RV.EA,0.0329784536994581,0
C.SAR,vsd.Cd,-0.00551764239369946,0
