name,group,unit,baseline_adult,baseline_scaled,seeded_value,bound_anchor,scale_method,is_calibratable,lb,ub,bound_type,bound_source,confidence_level,notes
group.R_sys_scale,coupled_resistance_scale,ratio,NaN,1,0.457982333986,1,"group_scale_relative_to_scaled(R.SAR,R.SC)",1,0.25,2.8,recipe_absolute_final_bounds,patient_scenario_recipe_bound_parity,medium,"Coupled calibration scale for R.SAR, R.SC. Grouped scale bound is dimensionless relative to the BSA-scaled baseline. Vascular compliance is derived from resistance using the Kung/Pennati-Fumero resting R-C relation. Final bounds set by explicit patient-scenario recipe."
R.SVEN,resistance,mmHg*s/mL,0.05,0.140116720877846,0.17210262897,0.140116720877846,"allometric_scaled_then_clinically_seeded",1,0.0560466883511383,0.392326818457968,recipe_absolute_final_bounds,patient_scenario_recipe_bound_parity,medium,"Venous resistance prior remains slightly wider while paired compliance is derived through the resting R-C coupling relation. Final bounds set by explicit patient-scenario recipe."
group.R_pul_scale,coupled_resistance_scale,ratio,NaN,1,0.45,1,"group_scale_relative_to_scaled(R.PAR,R.PCOX,R.PVEN)",1,0.45,2.8,recipe_absolute_final_bounds,patient_scenario_recipe_bound_parity,medium,"Coupled calibration scale for R.PAR, R.PCOX, R.PVEN. Grouped scale bound is dimensionless relative to the BSA-scaled baseline. Vascular compliance is derived from resistance using the Kung/Pennati-Fumero resting R-C relation. Final bounds set by explicit patient-scenario recipe."
C.SAR,compliance,mL/mmHg,1.33,0.474604312628576,0.505791080716,0.505791080716,"allometric_scaled_then_clinically_seeded",1,0.450874096997147,0.903077975376197,recipe_absolute_final_bounds,patient_scenario_recipe_bound_parity,high,"Systemic arterial compliance is anchored to stroke volume over systemic pulse pressure, with only a narrow residual tuning interval. Final bounds set by explicit patient-scenario recipe."
E.LV.EA,elastance,mmHg/mL,3.5,9.8081780742993,6.98614086497,9.8081780742993,"allometric_scaled_then_clinically_seeded",1,5.88490684457958,21.5779917634585,recipe_absolute_final_bounds,patient_scenario_recipe_bound_parity,medium,"Elastance prior is tightened around the allometric pediatric anchor. Final bounds set by explicit patient-scenario recipe."
E.LV.EB,elastance,mmHg/mL,0.08,0.224186927412555,0.160608281828,0.224186927412555,"allometric_scaled_then_clinically_seeded",1,0.134512156447533,0.560467318531389,recipe_absolute_final_bounds,patient_scenario_recipe_bound_parity,medium,"Elastance prior is tightened around the allometric pediatric anchor. Final bounds set by explicit patient-scenario recipe."
E.RV.EA,elastance,mmHg/mL,0.5,2.34558108649202,2.07924350997,2.34558108649202,"allometric_scaled_then_clinically_seeded",1,1.29006959757061,6.09851082487926,recipe_absolute_final_bounds,patient_scenario_recipe_bound_parity,medium,"Elastance prior is tightened around the allometric pediatric anchor. Final bounds set by explicit patient-scenario recipe."
E.RV.EB,elastance,mmHg/mL,0.042,0.19702881126533,0.108365846196,0.19702881126533,"allometric_scaled_then_clinically_seeded",1,0.108365846195931,0.512274909289858,recipe_absolute_final_bounds,patient_scenario_recipe_bound_parity,medium,"Elastance prior is tightened around the allometric pediatric anchor. Final bounds set by explicit patient-scenario recipe."
E.LA.EA,elastance,mmHg/mL,0.35,0.98081780742993,0.583711160536,0.98081780742993,"allometric_scaled_then_clinically_seeded",1,0.490408903714965,1.76547205337387,recipe_absolute_final_bounds,patient_scenario_recipe_bound_parity,medium,"Atrial elastance prior is wider because sparse catheter records usually provide only mean filling pressures. Final bounds set by explicit patient-scenario recipe."
E.RA.EA,elastance,mmHg/mL,0.3,1.40734865189521,1.22899252131,1.40734865189521,"allometric_scaled_then_clinically_seeded",1,0.703674325947606,2.53322757341138,recipe_absolute_final_bounds,patient_scenario_recipe_bound_parity,medium,"Atrial elastance prior is wider because sparse catheter records usually provide only mean filling pressures. Final bounds set by explicit patient-scenario recipe."
V0.LV,unstressed_volume,mL,3.5385,1.26269628326306,1.42789625539,1.26269628326306,"allometric_scaled_then_clinically_seeded",1,0.947022212447298,8.792,recipe_absolute_final_bounds,patient_scenario_recipe_bound_parity,medium,"Unstressed-volume prior is tied to blood-volume and preload consistency rather than a broad free search box. Final bounds set by explicit patient-scenario recipe."
V0.RV,unstressed_volume,mL,8.4067,2.99988945725805,3.03618578162,2.99988945725805,"allometric_scaled_then_clinically_seeded",1,2.09992262008063,11.8666666666667,recipe_absolute_final_bounds,patient_scenario_recipe_bound_parity,medium,"Unstressed-volume prior is tied to blood-volume and preload consistency rather than a broad free search box. Final bounds set by explicit patient-scenario recipe."
